make,component,complaint_count,crash_count,crash_rate_pct
TESLA,UNKNOWN OR OTHER,385,31.0,8.05
TESLA,ELECTRICAL SYSTEM,174,13.0,7.47
TESLA,STRUCTURE,93,6.0,6.45
TESLA,SEATS,33,2.0,6.06
TESLA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER",51,3.0,5.88
TESLA,"UNKNOWN OR OTHER,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",18,1.0,5.56
TESLA,"SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",240,12.0,5.0
TESLA,STEERING,188,9.0,4.79
TESLA,"VEHICLE SPEED CONTROL,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",129,6.0,4.65
TESLA,"ELECTRICAL SYSTEM,VISIBILITY,BACK OVER PREVENTION",23,1.0,4.35
TESLA,SUSPENSION,233,10.0,4.29
TESLA,TIRES,26,1.0,3.85
TESLA,FORWARD COLLISION AVOIDANCE,848,30.0,3.54
TESLA,WHEELS,34,1.0,2.94
TESLA,"VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE",241,6.0,2.49
TESLA,EXTERIOR LIGHTING,57,1.0,1.75
TESLA,"ELECTRICAL SYSTEM,LATCHES/LOCKS/LINKAGES",6,0.0,0.0
TESLA,"SEATS,UNKNOWN OR OTHER",5,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,SEATS",5,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,AIR BAGS,SEATS",13,0.0,0.0
TESLA,"SEAT BELTS,SEATS",18,0.0,0.0
TESLA,"STEERING,EXTERIOR LIGHTING",5,0.0,0.0
TESLA,"STEERING,SUSPENSION,SERVICE BRAKES",5,0.0,0.0
TESLA,"VEHICLE SPEED CONTROL,ELECTRICAL SYSTEM",5,0.0,0.0
TESLA,"UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",12,0.0,0.0
TESLA,"ELECTRICAL SYSTEM,LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",5,0.0,0.0
